"address","lat","long","accuracy"
"Adora",31.552219,35.017634,"locality"
"Alei Zahav",32.072227,35.064135,"locality"
"Alfei Menashe",32.170631,35.014858,"locality"
"Alon Shvut",31.654871,35.125256,"locality"
"Almog",31.790034,35.461968,"locality"
"Almon",31.832068,35.296764,"locality"
"Argaman",32.17334,35.522285,"locality"
"Ariel",32.104637,35.174514,"locality"
"Asfar",31.586152,35.187594,"locality"
"Ateret",32.001207,35.176982,"locality"
"Avnat",31.679039,35.436945,"locality"
"Avnei Hefetz",32.284628,35.074551,"locality"
"Barkan",32.109487,35.106008,"locality"
"Bat Ayin",31.657653,35.101101,"locality"
"Beit Aryeh",32.040059,35.049472,"locality"
"Beit El",31.9416,35.222734,"locality"
"Beit HaArava",31.807762,35.476411,"locality"
"Beit Horon",31.87989,35.124097,"locality"
"Beit Yatir",31.365586,35.11134,"locality"
"Beitar Illit",31.7010023,35.1119254,"locality"
"Beka'ot",32.24207,35.452636,"locality"
"Brukhin",32.082231,35.094113,"locality"
"Karmei Tzur",31.609468,35.101273,"locality"
"Carmel",31.422234,35.134154,"locality"
"Dolev",31.926249,35.133591,"locality"
"Efrat(a)",31.653589,35.149934,"locality"
"Elazar",31.659676,35.143074,"locality"
"Eli",31.717861,35.2021182,"establishment"
"Elkana",32.110566,35.032054,"locality"
"Elon Moreh",32.234418,35.331201,"locality"
"Einav",32.283594,35.125198,"locality"
"Eshkolot",31.391171,34.904856,"locality"
"Etz Efraim",32.119403,35.046367,"locality"
"Hashmonaim",31.932631,35.023269,"locality"
"Geva Binyamin",31.849999,35.273853,"locality"
"Gilgal",32.000016,35.444643,"locality"
"Gitit",32.100273,35.395443,"locality"
"Giv'at Ze'ev",31.861189,35.167252,"locality"
"Giv'on HaHadasha",31.848896,35.159029,"locality"
"Beit Hagai",31.49253,35.079537,"locality"
"Halamish",32.008313,35.128876,"locality"
"Hamra",32.199688,35.43735,"locality"
"Har Adar",31.824501,35.12966,"locality"
"Har Brakha",32.193264,35.264885,"locality"
