X,Y,id,addr:city,addr:postcode,name,name:en,name:he
"34.8097343","32.1625824",node/290609034,,"46733",בנק לאומי,Bank Leumi,בנק לאומי
"34.783393","30.8508662",node/379442588,מדרשת בן גוריון,"849000",,,
"34.6447099","31.7906265",node/388886986,אשדוד,"77452",,,
"34.9618421","29.5513504",node/392637143,Eilat,"88000",Isrotel: Lagoona All Inclusive,Isrotel: Lagoona All Inclusive,
"35.1901787","31.6938864",node/431626329,,"+972",Ertas Police Station,,
"35.2380834","32.2225228",node/432036651,San Jose,"85124",,,
"35.2444045","32.2218094",node/432162489,,"0000",Al silawi,,
"35.2146235","31.9222926",node/432280198,Albireh,"00970",Experts Turnkey Solutions,Experts Turnkey Solutions,
"35.2026931","31.904515",node/432286809,,"44",مطعم مستر بيكر,Mr.Baker Restaurant,
"35.182513","31.9524851",node/432289785,,"00972",مطعم محمد ناصر,Mohhamad Nasser restaurant,
"35.2013377","31.9051001",node/432293643,,"00972",الكشتبان الذهبي,Top Clean & Golden thimble,
"35.1972077","31.8903687",node/432297457,,"4029",UCI Headquarters,UCI Headquarters,
"34.9642656","32.1931331",node/432334756,,"342",Abo Al-Abed,Abu Abed Restaurant,
"34.9638073","32.1802827",node/432334812,,"110",شركة المنيوم الامل,alamal aluminium co א,אלומיניום אלאמל
"35.0517086","32.3860657",node/432371445,,"00972",Zita New Pharmacy,,
"35.115884","32.3319437",node/432382564,,"00972",Bal'a Secondary School For Boys,,
"35.0290888","32.3021437",node/432411647,tulkarm,"302",Saraya Shereen Wedding Halls & Suite,,
"35.117361","32.3058518",node/432537442,,"00970",Al BArakeh,,
"35.3611237","31.1930118",node/442055754,,"86980",Isrotel Dead Sea Hotel and Spa,Isrotel Dead Sea Hotel and Spa,
"35.0668918","32.9200962",node/442370184,,"24315",אורי בורי,Uri Buri,אורי בורי
"35.5865861","31.7141756",node/464716490,,"184194",Dead Sea Spa Hotel,,
"34.8593569","32.332916",node/474377151,,"42251","בימר""ק הנשיא",HaNassi,"בימר""ק הנשיא"
"34.9914184","32.7691402",node/484698520,,"3491140",מועדון הספורט הוד הכרמל,Hod HaCarmel,מועדון הספורט הוד הכרמל
"34.4525538","31.5155154",node/504253503,,"00970",Al-Konoz Al-Khadraa Restaurant,Al Kunooz Al Khadraa Restaurant,
"34.44806","31.5243976",node/504284727,Gaza,"00972",مطبخ بيروت Beirut kitchen,,
"34.9610792","29.5543927",node/540904945,,"88000",Crowne Plaza : Eilat,Crowne Plaza : Eilat,
"34.7902994","32.0707047",node/553022802,,"67014",קפה שרגא,Shraga Cafe,קפה שרגא
"35.215317","31.7801333",node/560675175,ירושלים,"94267",הגלריה לספרות,Book Gallery,הגלריה לספרות
"34.85496","32.0335719",node/602991134,,"60411",,,
"34.8544235","32.0329388",node/638470260,,"60411",,,
"34.8543915","32.0328256",node/638470261,,"60411",,,
"34.854368","32.0327304",node/638470262,,"60411",,,
"34.8543385","32.0326127",node/638470264,,"60411",,,
"34.8543121","32.0325131",node/638470265,,"60411",,,
"34.8545606","32.0334324",node/638470266,,"60411",,,
"34.8545286","32.0333215",node/638470267,,"60411",,,
"34.8544997","32.0332287",node/638470269,,"60411",,,
"34.8544761","32.0331336",node/638470272,,"60411",,,
"34.8544498","32.0330339",node/638470274,,"60411",,,
"34.8546131","32.0336226",node/638470276,,"60411",,,
"34.8545896","32.033532",node/638470278,,"60411",,,
"35.2257024","31.785248",node/679212724,Jerusalem,"95105",Romanian Orthodox Church from Jerusalem,Romanian Orthodox Church from Jerusalem,
"34.7679312","32.0570791",node/723198061,,ויטל,ג'יוספה,JosePe,ג'יוספה
"34.7736667","32.0885102",node/723214867,,בן יהודה,Friends,Friends,פרינדס
"34.9926738","32.7671287",node/762053933,,"3491140",שופרסל אקספרס,Shufersal Express,שופרסל אקספרס
"34.9860415","32.8072883",node/813005468,Haifa,"31064",Bet- Shalom,Bet- Shalom,
"35.0329921","32.1156278",node/832439322,אלקנה,"4481400",מכללת אורות ישראל,Orot Israel College,מכללת אורות ישראל
"34.9577459","32.6763677",node/848726406,,,,,
"35.2193816","31.7728409",node/872716620,Jerusalem,"9214423",Goethe Institut,Goethe Institut,
"35.2180579","31.7744108",node/899465011,Jerusalem,"91008",Chapel of Terra Sancta,Chapel of Terra Sancta,
"35.367458","31.1644457",node/907053139,,"84960",Leonardo Club Hotel Dead Sea,Leonardo Club Hotel Dead Sea,
"35.5433436","32.869846",node/915270956,Migdal,"14950",Pilgerhaus Tabgha,Pilgerhaus Tabgha,
"35.5493421","32.8736601",node/916344776,Tiberias,"14100",Benedictine Monastery of Tabgha,Benedictine Monastery of Tabgha,
"34.7963224","32.1034077",node/951616833,תל-אביב,"69975",,,
"34.7647194","32.0178278",node/1110834959,,"58361",בנק לאומי,Bank Leumi,בנק לאומי
"35.2974689","32.4607106",node/1112203085,,"0970",Cinema Jenin Guesthouse,,
"35.2264353","31.6996166",node/1154391954,Beit Sahour,"91193",Medipharm,,
"34.7923922","32.0744838",node/1219941160,,"67021",Tel Aviv City Center,Tel Aviv City Center,
"34.8663273","32.3375065",node/1256447054,נתניה,"4224204",,,
"34.8662251","32.3373105",node/1256447055,נתניה,"4224202",,,
"35.2311151","31.7855664",node/1366454077,,"91540",Internet cafe,Educational bookshop,Educational bookshop
"34.9271039","32.202492",node/1371297100,,"44905",,,
"35.1995836","31.9021164",node/1390250647,,"3",Ramallah Municipality,Ramallah Municipality,
"34.7919866","32.0752574",node/1419050295,,"67011",שופרסל,Shufersal,שופרסל
"34.789469","32.0730758",node/1419055660,,"67011",בנק דיסקונט,Bank Discount,בנק דיסקונט
"34.7896022","32.0729414",node/1419060789,,"67011",בנק יהב,Bank Yahav,בנק יהב
"34.7895488","32.0728665",node/1419063861,,"67011",לנדוור,Landwer,לנדוור
"34.7895542","32.0727665",node/1419065976,,"67011",פיצוצית קרית הממשלה,,פיצוצית קרית הממשלה
"34.7895895","32.0728295",node/1419065977,,"67011",נענע,Nana,נענע
"34.7863811","32.07048",node/1419068446,,"64739",Arcaffe,Arcaffe,
"35.1999663","31.8923404",node/1424295856,,"2298",Wide Link Media co.,Wide Link Media co.,
"34.7747134","32.0781744",node/1561567152,,"64381",הבנק הבינלאומי,First International Bank,הבנק הבינלאומי
"35.2173753","31.7830364",node/1723912965,Jerusalem,"94301",פלטין,Palatin,פלטין
"34.763705","32.0177253",node/1737772183,,"75706",מעדני מניה,Maadaney Mania,מעדני מניה
"34.7795378","32.0898978",node/1750784331,,"60000",La bonne Patisserie,La bonne Patisserie,
"34.7792266","32.0899705",node/1750786333,,"60000",Boutique Noemi,Boutique Noemi,
"34.9527848","29.5472869",node/1764005156,,"88119",Retro,Retro,
"34.9521625","29.5475482",node/1764033404,,"88119",Brasserie,Brasserie,
"35.1984346","31.9059024",node/1787508060,,"123",daouad restaurant,daouad restaurant,
"34.7766833","32.0764281",node/1791481321,,"6437701",פלאפל הקוסם,Falafel HaKosem,פלאפל הקוסם
"34.8003791","32.0152879",node/1799497524,,"58855",B.C.N.,B.C.N.,בי.סי.אן
"34.8002527","32.0151478",node/1799497565,,"58855",א. מרחיב,,א. מרחיב
"34.800336","32.0152375",node/1799497566,,"58855",ז. את ג. הספקה טכנית,,ז. את ג. הספקה טכנית
"34.8004521","32.0153574",node/1799497567,,"58855",מחסני מזון לחיות מחמד,,מחסני מזון לחיות מחמד
"35.575259","33.20202",node/1802982786,קרית שמונה,"1153405",קרן היסוד/הירדן,Keren HaYesod/HaYarden,קרן היסוד/הירדן
"35.581498","33.213468",node/1802992647,קרית שמונה,"1163384",מנחם בגין/חבצלת,Menachem Begin/Havatselet,מנחם בגין/חבצלת
"35.581806","33.216694",node/1802992655,קרית שמונה,"1163251",מנחם בגין/כלנית,Menachem Begin/Kalanit,מנחם בגין/כלנית
"35.57206","33.21075",node/1802993311,קרית שמונה,"1153207",הירדן/ביאליק,HaYarden/Bialik,הירדן/ביאליק
"35.575372","33.204903",node/1802997413,קרית שמונה,"1153226",בית ספר דנציגר/הירדן,Danziger School/HaYarden,בית ספר דנציגר/הירדן
"35.568284","33.215618",node/1802998082,קרית שמונה,"1157212",בית ספר קורצק/יהודה הלוי,Korczak School/Yehuda Halevi,בית ספר קורצק/יהודה הלוי
"35.538134","32.968198",node/1803006739,ראש פינה,"1201002",דוד שו''ב/דרך המרכז,David Shuv/HaMerkaz Road,דוד שו''ב/דרך המרכז
"35.568824","33.217264",node/1803018101,קרית שמונה,"1157204",יהודה הלוי/גלעד,Yehuda Halevi/Gilad,יהודה הלוי/גלעד
"35.577895","33.277776",node/1803020327,מטולה,"1029200",הראשונים/הצבעונים,HaRishonim/HaTsiv'onim,הראשונים/הצבעונים
"35.574812","33.207806",node/1803023086,קרית שמונה,"1153220",הירדן/משאש,HaYarden/Meshash,הירדן/משאש
"35.574338","33.208616",node/1803023091,קרית שמונה,"1153213",הירדן/שפרינצק,HaYarden/Shprinzak,הירדן/שפרינצק
"35.575848","33.202998",node/1803023127,קרית שמונה,"1153231",הירדן/קרן היסוד,HaYarden/Keren HaYesod,הירדן/קרן היסוד
"35.576637","33.200427",node/1803023129,קרית שמונה,"1153232",הירדן,HaYarden,הירדן
"35.571541","33.211105",node/1803023213,קרית שמונה,"1153204",הירדן/תל חי,HaYarden/Tel Hai,הירדן/תל חי
"34.764102","32.06448",node/1803025962,תל אביב-יפו,"6812513",המרד/פינס,HaMered/Pines,המרד/פינס
"34.764723","32.065107",node/1803025963,תל אביב-יפו,"6812526",המרד/פינס,HaMered/Pines,המרד/פינס
"35.570878","33.200329",node/1803028364,קרית שמונה,"1151311",הנרייטה סאלד/סלמנוביץ,Henrietta Szold/Salmanovitch,הנרייטה סאלד/סלמנוביץ
"35.575858","33.199581",node/1803028431,קרית שמונה,"1151303",הנרייטה סאלד/קרן היסוד,Henrietta Szold/Keren HaYesod,הנרייטה סאלד/קרן היסוד
"35.576555","33.218302",node/1803029289,קרית שמונה,"1102638",הנשיא/רש''י,,הנשיא/רש''י
"35.56862","33.222023",node/1803031575,קרית שמונה,"1158103",הר הצופים,Mount Scopus,הר הצופים
"35.568171","33.220316",node/1803031588,קרית שמונה,"1158108",הר-הצופים/יקותיאל אדם,Mount -Scopus/Yekutiel Adam,הר-הצופים/יקותיאל אדם
"35.568481","33.228873",node/1803031600,קרית שמונה,"1156904",הר ציון סובה,Mount Zion Rotary,הר ציון סובה
"35.57013","33.227541",node/1803032589,קרית שמונה,"1156851",הרי אפרים/הר אביטל,Efraim Mountains/Mt. Avital,הרי אפרים/הר אביטל
"35.570378","33.227656",node/1803032590,קרית שמונה,"1156852",הרי אפרים/הר אדמון,Efraim Mountains/Mt. Admon,הרי אפרים/הר אדמון
"35.56711","33.227868",node/1803032591,קרית שמונה,"1156881",הרי אפרים/הר ציון,Efraim Mountains/Har Tsiyon,הרי אפרים/הר ציון
"35.567357","33.227847",node/1803032592,קרית שמונה,"1156879",הרי אפרים,Efraim Mountains,הרי אפרים
"35.57737","33.215711",node/1803043655,קרית שמונה,"1150114",שפרינצק א,Shprinzak A,שפרינצק א
"35.577631","33.216378",node/1803043662,קרית שמונה,"1150119",שפרינצק ב,Shprinzak B,שפרינצק ב
"35.577381","33.218157",node/1803043688,קרית שמונה,"1150111",שפריצק/הנשיא,Sprinzak/HaNassi,שפריצק/הנשיא
