X,Y,state,source
35.08453,31.52944,PAL,phone code
35.30086,32.45943,PAL,phone code
34.31935,31.33134,PAL,phone code
35.25629,32.22149,PAL,phone code
35.16256,31.92011,PAL,phone code
35.30994,32.60115,IL,phone code
35.2327,31.26287,IL,phone code
35.1797,32.10524,IL,phone code
34.66736,31.78476,IL,phone code
34.57685,31.67302,IL,phone code
34.78657,31.25269,IL,phone code
35.50022,32.49691,IL,phone code
34.83707,32.08715,IL,phone code
35.28847,32.91317,IL,phone code
35.02719,31.06086,IL,phone code
34.93014,29.567,IL,phone code
34.88002,32.27174,IL,phone code
34.80593,32.05939,IL,phone code
34.93205,32.46954,IL,phone code
35.00707,32.777,IL,phone code
34.82363,32.17451,IL,phone code
34.8904,32.15623,IL,phone code
34.77835,32.00954,IL,phone code
35.18883,31.77506,IL,phone code
34.98644,32.47989,IL,phone code
34.9272,32.18474,IL,phone code
35.11566,32.80522,IL,phone code
35.09107,32.84146,IL,phone code
34.76482,31.60385,IL,phone code
34.73955,31.72898,IL,phone code
35.07891,32.82414,IL,phone code
34.85326,32.0555,IL,phone code
35.57329,33.20775,IL,phone code
35.13153,32.71918,IL,phone code
35.0784,32.85105,IL,phone code
34.90793,31.95169,IL,phone code
35.27044,33.0225,IL,phone code
35.0986,33.00244,IL,phone code
34.87498,32.3121,IL,phone code
34.57607,31.42577,IL,phone code
34.92119,32.5,IL,phone code
34.872,32.08049,IL,phone code
34.86736,32.18444,IL,phone code
34.81641,32.08347,IL,phone code
34.83417,32.12778,IL,phone code
34.81146,31.88275,IL,phone code
34.77329,31.98216,IL,phone code
34.96834,32.09368,IL,phone code
35.50149,32.97663,IL,phone code
34.7513,32.04333,IL,phone code
35.51937,32.79301,IL,phone code
34.73917,31.87566,IL,phone code
34.8097343,32.1625824,IL,postal code
34.783393,30.8508662,IL,postal code
34.6447099,31.7906265,IL,postal code
34.9618421,29.5513504,IL,postal code
35.1901787,31.6938864,PAL,postal code
35.2380834,32.2225228,IL,postal code
35.2146235,31.9222926,PAL,postal code
35.2026931,31.904515,IL,postal code
35.182513,31.9524851,PAL,postal code
35.2013377,31.9051001,PAL,postal code
35.1972077,31.8903687,IL,postal code
34.9642656,32.1931331,IL,postal code
34.9638073,32.1802827,IL,postal code
35.0517086,32.3860657,PAL,postal code
35.115884,32.3319437,PAL,postal code
35.0290888,32.3021437,IL,postal code
35.117361,32.3058518,PAL,postal code
35.3611237,31.1930118,IL,postal code
35.0668918,32.9200962,IL,postal code
35.5865861,31.7141756,IL,postal code
34.8593569,32.332916,IL,postal code
34.9914184,32.7691402,IL,postal code
34.4525538,31.5155154,PAL,postal code
34.44806,31.5243976,PAL,postal code
34.9610792,29.5543927,IL,postal code
34.7902994,32.0707047,IL,postal code
35.215317,31.7801333,PAL,postal code
34.85496,32.0335719,IL,postal code
34.8544235,32.0329388,IL,postal code
34.8543915,32.0328256,IL,postal code
34.854368,32.0327304,IL,postal code
34.8543385,32.0326127,IL,postal code
34.8543121,32.0325131,IL,postal code
34.8545606,32.0334324,IL,postal code
34.8545286,32.0333215,IL,postal code
34.8544997,32.0332287,IL,postal code
34.8544761,32.0331336,IL,postal code
34.8544498,32.0330339,IL,postal code
34.8546131,32.0336226,IL,postal code
34.8545896,32.033532,IL,postal code
35.2257024,31.785248,PAL,postal code
34.9926738,32.7671287,IL,postal code
34.9860415,32.8072883,IL,postal code
35.0329921,32.1156278,IL,postal code
35.2193816,31.7728409,PAL,postal code
35.2180579,31.7744108,PAL,postal code
35.367458,31.1644457,IL,postal code
35.5433436,32.869846,IL,postal code
35.5493421,32.8736601,IL,postal code
34.7963224,32.1034077,IL,postal code
34.7647194,32.0178278,IL,postal code
35.2974689,32.4607106,PAL,postal code
35.2264353,31.6996166,PAL,postal code
34.7923922,32.0744838,IL,postal code
34.8663273,32.3375065,IL,postal code
34.8662251,32.3373105,IL,postal code
35.2311151,31.7855664,PAL,postal code
34.9271039,32.202492,IL,postal code
35.1995836,31.9021164,IL,postal code
34.7919866,32.0752574,IL,postal code
34.789469,32.0730758,IL,postal code
34.7896022,32.0729414,IL,postal code
34.7895488,32.0728665,IL,postal code
34.7895542,32.0727665,IL,postal code
34.7895895,32.0728295,IL,postal code
34.7863811,32.07048,IL,postal code
35.1999663,31.8923404,IL,postal code
34.7747134,32.0781744,IL,postal code
35.2173753,31.7830364,PAL,postal code
34.763705,32.0177253,IL,postal code
34.7795378,32.0898978,IL,postal code
34.7792266,32.0899705,IL,postal code
34.9527848,29.5472869,IL,postal code
34.9521625,29.5475482,IL,postal code
35.1984346,31.9059024,IL,postal code
34.7766833,32.0764281,IL,postal code
34.8003791,32.0152879,IL,postal code
34.8002527,32.0151478,IL,postal code
34.800336,32.0152375,IL,postal code
34.8004521,32.0153574,IL,postal code
35.575259,33.20202,IL,postal code
35.581498,33.213468,IL,postal code
35.581806,33.216694,IL,postal code
35.57206,33.21075,IL,postal code
35.575372,33.204903,IL,postal code
35.568284,33.215618,IL,postal code
35.538134,32.968198,IL,postal code
35.568824,33.217264,IL,postal code
35.577895,33.277776,IL,postal code
35.574812,33.207806,IL,postal code
35.574338,33.208616,IL,postal code
35.575848,33.202998,IL,postal code
35.576637,33.200427,IL,postal code
35.571541,33.211105,IL,postal code
34.764102,32.06448,IL,postal code
34.764723,32.065107,IL,postal code
35.570878,33.200329,IL,postal code
35.575858,33.199581,IL,postal code
35.576555,33.218302,IL,postal code
35.56862,33.222023,IL,postal code
35.568171,33.220316,IL,postal code
35.568481,33.228873,IL,postal code
35.57013,33.227541,IL,postal code
35.570378,33.227656,IL,postal code
35.56711,33.227868,IL,postal code
35.567357,33.227847,IL,postal code
35.57737,33.215711,IL,postal code
35.577631,33.216378,IL,postal code
35.577381,33.218157,IL,postal code
35.577374,33.217758,IL,postal code
35.576985,33.211129,IL,postal code
35.569473,33.220696,IL,postal code
34.765502,32.065898,IL,postal code
34.766098,32.066363,IL,postal code
34.763649,32.063276,IL,postal code
35.568857,33.205237,IL,postal code
35.575328,33.203086,IL,postal code
35.575329,33.200857,IL,postal code
35.573792,33.218649,IL,postal code
35.573676,33.218594,IL,postal code
35.570443,33.213395,IL,postal code
35.570614,33.212637,IL,postal code
35.570756,33.217544,IL,postal code
34.8128322,31.8987868,IL,postal code
34.8884577,32.0880557,IL,postal code
34.8058583,31.9127978,IL,postal code
34.8092052,32.1620068,IL,postal code
34.8104238,31.9831133,IL,postal code
34.8219442,31.8978903,IL,postal code
34.7482581,32.0275778,IL,postal code
34.7646623,32.0178783,IL,postal code
34.7482219,32.027645,IL,postal code
34.7620752,32.0588271,IL,postal code
35.2169301,31.7816994,PAL,postal code
34.9527651,29.5581631,IL,postal code
34.6510005,31.7857247,IL,postal code
34.8343845,32.0709553,IL,postal code
35.2460184,32.9291614,IL,postal code
35.575168,33.201238,IL,postal code
34.9640589,32.7910694,IL,postal code
34.7916661,32.0781738,IL,postal code
34.752196,32.054657,IL,postal code
34.7761504,32.0630665,IL,postal code
34.793203,32.095076,IL,postal code
34.786229,32.052156,IL,postal code
34.782164,32.092327,IL,postal code
34.752557,32.034556,IL,postal code
34.774772,32.073353,IL,postal code
34.780602,32.089632,IL,postal code
34.767076,32.074558,IL,postal code
34.768453,32.063542,IL,postal code
34.767181,32.074783,IL,postal code
34.751555,32.052679,IL,postal code
34.78146,32.069919,IL,postal code
34.7739405,32.0188893,IL,postal code
34.7705798,32.0645717,IL,postal code
34.7662017,32.0760598,IL,postal code
34.2279393,31.2562276,IL,postal code
35.0263751,31.9441081,PAL,postal code
34.7895924,31.9360844,IL,postal code
34.6090873,31.7011453,IL,postal code
34.6077809,31.7011018,IL,postal code
34.6081539,31.7016701,IL,postal code
34.6081484,31.7014327,IL,postal code
34.6085588,31.7006843,IL,postal code
34.6071156,31.7011446,IL,postal code
34.6074702,31.7004874,IL,postal code
34.608964,31.701232,IL,postal code
34.6075585,31.7002279,IL,postal code
34.6084328,31.7015378,IL,postal code
34.6076902,31.7009116,IL,postal code
34.607899,31.7010494,IL,postal code
34.6090229,31.7009375,IL,postal code
34.6091489,31.7008348,IL,postal code
34.6093663,31.7009217,IL,postal code
34.6072771,31.7015052,IL,postal code
34.6079739,31.6999673,IL,postal code
34.6066436,31.7007841,IL,postal code
34.6074107,31.7003096,IL,postal code
34.6080331,31.7009923,IL,postal code
34.6066466,31.7005566,IL,postal code
34.6088269,31.7001499,IL,postal code
34.6089478,31.7003989,IL,postal code
34.6072658,31.7010079,IL,postal code
34.6078293,31.7015743,IL,postal code
34.6084381,31.7012821,IL,postal code
34.6081027,31.6998621,IL,postal code
34.609417,31.7006108,IL,postal code
34.6079984,31.701734,IL,postal code
34.6088297,31.7004926,IL,postal code
34.6094765,31.7008297,IL,postal code
34.6085884,31.7014464,IL,postal code
34.6072176,31.701373,IL,postal code
34.6081939,31.7000677,IL,postal code
34.6075609,31.7017699,IL,postal code
34.6074917,31.7012174,IL,postal code
34.6087546,31.7011042,IL,postal code
34.607636,31.701601,IL,postal code
34.6092376,31.7010312,IL,postal code
34.6069601,31.7007567,IL,postal code
34.6084462,31.7004583,IL,postal code
34.6088887,31.7010242,IL,postal code
34.6081833,31.7009262,IL,postal code
34.6084514,31.699876,IL,postal code
34.608328,31.6999762,IL,postal code
34.6087064,31.7005816,IL,postal code
34.6080651,31.7001588,IL,postal code
34.609283,31.7007345,IL,postal code
34.6071693,31.7006106,IL,postal code
34.6076896,31.7017929,IL,postal code
34.6096155,31.7007156,IL,postal code
34.608414,31.7007779,IL,postal code
34.6082207,31.6997663,IL,postal code
34.6071747,31.7007658,IL,postal code
34.6076495,31.7011544,IL,postal code
34.6087117,31.7002529,IL,postal code
34.6078479,31.7017843,IL,postal code
34.6075448,31.7009803,IL,postal code
34.6078404,31.7008388,IL,postal code
34.6068372,31.7007336,IL,postal code
34.6073946,31.7010353,IL,postal code
34.607599,31.7004326,IL,postal code
34.6080009,31.7015012,IL,postal code
34.607835,31.7000582,IL,postal code
34.6082988,31.7016062,IL,postal code
34.6090629,31.7002914,IL,postal code
34.6070835,31.7004374,IL,postal code
34.6070674,31.701017,IL,postal code
34.6085883,31.7003556,IL,postal code
34.6074327,31.7017197,IL,postal code
34.6070143,31.700889,IL,postal code
34.6088405,31.7013072,IL,postal code
34.6073463,31.7016238,IL,postal code
34.6082932,31.701362,IL,postal code
34.607242,31.7003831,IL,postal code
34.6074112,31.701318,IL,postal code
34.6073302,31.7005515,IL,postal code
34.6133557,31.7004677,IL,postal code
34.6142145,31.6993331,IL,postal code
34.6129707,31.6996803,IL,postal code
34.6135101,31.6996943,IL,postal code
34.6135539,31.7001128,IL,postal code
34.6141321,31.6992151,IL,postal code
34.6137274,31.7000065,IL,postal code
34.6133318,31.6998005,IL,postal code
34.6122164,31.6983969,IL,postal code
34.6127014,31.6993238,IL,postal code
34.6126617,31.6985488,IL,postal code
34.6129136,31.6987805,IL,postal code
34.6142741,31.6990416,IL,postal code
34.6131714,31.6998807,IL,postal code
34.6137924,31.6998941,IL,postal code
34.6126248,31.6992142,IL,postal code
34.6128991,31.7000388,IL,postal code
34.6127981,31.6986577,IL,postal code
34.6136475,31.7003003,IL,postal code
34.6123257,31.698848,IL,postal code
34.6121635,31.6985473,IL,postal code
34.6140107,31.6986734,IL,postal code
34.6133982,31.7001995,IL,postal code
34.6131354,31.6990636,IL,postal code
34.6134108,31.6994522,IL,postal code
34.6121148,31.6986828,IL,postal code
34.6125222,31.6990829,IL,postal code
34.6125284,31.6984544,IL,postal code
34.6133267,31.698202,IL,postal code
34.6132064,31.6981021,IL,postal code
34.6122769,31.6982633,IL,postal code
34.6146617,31.6995667,IL,postal code
34.6124226,31.6989832,IL,postal code
34.6123369,31.6981132,IL,postal code
34.6143953,31.6998777,IL,postal code
34.6147531,31.6996893,IL,postal code
34.6129354,31.6979025,IL,postal code
34.6128983,31.6995828,IL,postal code
