X,Y,code,fclass,name
35.5708638,32.7109379,"3102",christian_catholic,×™×¨×“× ×™×ª
34.8765959,32.3101859,"3200",jewish,
34.8699464,32.304117,"3200",jewish,
34.9107432,32.4862768,"3200",jewish,×‘×™×ª ×”×›× ×¡×ª ×”×™×›×œ × ×¢×ž×™
35.516667,33.033333,"3300",muslim,Esh Sheikh Muhammad Nattah
35.2293787,31.7761998,"3300",muslim,×ž×¡×’×“ ×™×¢×§×•×‘×™
34.8154756,32.1724632,"3200",jewish,
34.8791165,32.3141395,"3200",jewish,×‘×™×ª ×”×›× ×¡×ª ×™×©×ž×— ×ž×©×”
34.8429835,32.1669501,"3200",jewish,
35.2302762,31.7840007,"3100",christian,×’×Ÿ ×”×§×‘×¨
34.8734134,31.9246192,"3300",muslim,
35.2186055,31.7802817,"3200",jewish,×ž×•×–×™××•×Ÿ ×™×”×“×•×ª ××™×˜×œ×™×”
34.7710672,32.0804879,"3200",jewish,
35.2194112,31.7031511,"3300",muslim,Ø¬Ø§Ù…Ø¹ Ø¹Ù…Ø± Ø¨Ù† Ø§Ù„Ø®Ø·Ø§Ø¨
35.2201402,31.7025302,"3106",christian_orthodox,ÙƒÙ†ÙŠØ³Ø© Ø§Ù„Ø¢Ø¨Ø§Ø¡ ÙˆØ§Ù„Ø£Ø¬Ø¯Ø§Ø¯ Ù„Ù„Ø±ÙˆÙ… Ø§Ù„Ø£Ø±Ø«ÙˆØ°ÙƒØ³
35.1883374,31.7151687,"3100",christian,Beit Jala Muncipality
35.1858454,31.7156983,"3100",christian,Bait Ibrahim Church
35.1862701,31.7162574,"3300",muslim,Beit Jala Mosque
35.2298841,31.7070704,"3102",christian_catholic,Ø­Ù‚Ù„ Ø§Ù„Ø±Ø¹Ø§Ø©
35.2200212,31.7041257,"3100",christian,ÙƒÙ†ÙŠØ³Ø© Ø§Ù„Ø±ÙˆÙ… Ø§Ù„ÙƒØ§Ø«ÙˆÙ„ÙŠÙƒ
