"","X","Y","religion"
"1",35.5708638,32.7109379,"christian"
"2",34.8765959,32.3101859,"jewish"
"3",34.8699464,32.304117,"jewish"
"4",34.9107432,32.4862768,"jewish"
"5",35.516667,33.033333,"muslim"
"6",35.2293787,31.7761998,"muslim"
"7",34.8154756,32.1724632,"jewish"
"8",34.8791165,32.3141395,"jewish"
"9",34.8429835,32.1669501,"jewish"
"10",35.2302762,31.7840007,"christian"
"11",34.8734134,31.9246192,"muslim"
"12",35.2186055,31.7802817,"jewish"
"13",34.7710672,32.0804879,"jewish"
"14",35.2194112,31.7031511,"muslim"
"15",35.2201402,31.7025302,"christian"
"16",35.1883374,31.7151687,"christian"
"17",35.1858454,31.7156983,"christian"
"18",35.1862701,31.7162574,"muslim"
"19",35.2298841,31.7070704,"christian"
"20",35.2200212,31.7041257,"christian"
"21",35.222106,31.7101283,"christian"
"22",35.1977966,31.7120598,"christian"
"23",35.1612545,31.7033859,"christian"
"24",35.1617589,31.7033688,"muslim"
"25",35.1634664,31.6971096,"muslim"
"26",35.1853487,31.6876676,"christian"
"27",35.1997497,31.7173393,"muslim"
"28",35.1723831,31.7268626,"christian"
"29",35.2462504,31.7024124,"muslim"
"30",35.2018452,31.7186685,"jewish"
"31",35.1994203,31.7043936,"christian"
"32",35.1837953,31.7015511,"muslim"
"33",35.2726629,31.7124809,"muslim"
"34",35.2745449,31.7179744,"muslim"
"35",35.2828885,31.721141,"christian"
"36",35.1753492,31.6987243,"muslim"
"37",35.1834647,31.6943501,"muslim"
"38",35.2182538,31.7035034,"christian"
"39",35.1674782,31.7281341,"muslim"
"40",35.1801113,31.6937421,"muslim"
"41",35.1647986,31.7344576,"muslim"
"42",35.1622089,31.7379545,"muslim"
"43",35.161045,31.7257281,"muslim"
"44",35.2649485,31.6960747,"muslim"
"45",35.2767075,31.6919858,"muslim"
"46",35.2659104,31.6913997,"muslim"
"47",35.2677271,31.6854199,"muslim"
"48",35.2526768,31.6899661,"muslim"
"49",35.2573874,31.674818,"muslim"
"50",35.2214424,31.6622824,"muslim"
"51",35.2114465,31.6611359,"muslim"
"52",35.1992145,31.6620696,"muslim"
"53",35.2639316,31.6695458,"muslim"
"54",35.2458007,31.6719017,"muslim"
"55",35.141493,31.7185184,"muslim"
"56",35.1338771,31.7110073,"muslim"
"57",35.168045,31.6657446,"muslim"
"58",35.1672819,31.6644096,"muslim"
"59",35.250222,31.712769,"muslim"
"60",35.2745144,31.7177458,"muslim"
"61",35.2825906,31.7211323,"christian"
"62",35.2857025,31.7172201,"muslim"
"63",35.2894941,31.7156997,"muslim"
"64",35.2995219,31.7157761,"muslim"
"65",35.2998927,31.7206662,"muslim"
"66",35.2896772,31.7246782,"muslim"
"67",35.274802,31.7052143,"muslim"
"68",35.2813654,31.6980663,"muslim"
"69",35.2556318,31.704671,"muslim"
"70",35.1173876,31.6835852,"muslim"
"71",35.226462,31.640568,"muslim"
"72",35.2208952,31.6348234,"muslim"
"73",35.1604389,31.6541002,"muslim"
"74",35.1907886,31.6587879,"muslim"
"75",35.2349068,31.679312,"muslim"
